Rw,C,RwC,Ctr,RwCtr,STC,OITC,nazwa EN,nazwa US,glass 1,gI,PVBI,spacer 1,S,glass 2,g II,PVB II,spacer 2,SII,glass 3,g III PVB III,,Laminat akustyczny,mm,kg/m2,Certyfikat,Certyfikat
40,-2,38,-6,34,,,"6/12/8,4T (VSG 44.1T) Acoustic",,6,6,,12 Ar,12,44.1 A,8,"0,5",-,,-,,,tak,"26,50","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw40-6-12-84T-VSG-44.1T-Acoustic.pdf,
40,-1,39,-5,35,40,33,"12,8 (VSG 66.2)/12/6T","12,8 (Lami. 66.2)/12/6",66.2,12,"0,76",12 Ar,12,6,6,,-,,,,,nie,"30,76","45,00",https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_40_IGU_1276-12-6-en.pdf,https://pressglass.com/wp-content/uploads/2017/05/Gryfitlab_Rw_40_IGU_1276-12-6-pl.pdf
41,-1,40,-5,36,,,"6/20/10,8T (VSG 55.2T)",,6,6,,20 Ar,20,55.2,10,"0,76",-,,-,,,nie,"36,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw41-6-20Ar-VSG-55.2-swiadectwo-j.angielski-.pdf,
41,-2,39,-6,35,,,"8,4 (VSG 44.1) Acoustic/16/6T",,44.1 A,8,"0,5",16 Ar,16,6,6,,-,,-,,,tak,"30,50","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw41-VSG44.1-Stratophone-16Ar-6-ang.pdf,
41,-2,39,-6,35,41,32,"8,8 (VSG 44.2) Acoustic/16/6,8T (VSG 33.2T)","8,8 (Lami. 44.2) Acoustic/16/6,8 (Lami. 33.2)",44.2 A,8,"0,76",16 Ar,16,33.2,6,"0,76",-,,-,,,tak,"31,52","35,00",https://pressglass.com/wp-content/uploads/2018/04/Gryfitlab_Rw_41_IGU_876aku-16-676-en.pdf,
41,-1,40,-4,37,,,"8/16/10,8T (VSG 55.2T)",,8,8,,16 Ar,16,55.2,10,"0,76",-,,-,,,nie,"34,76","45,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw41-8-16Ar-55.2T-swiadectwo-j.-angielski.pdf,
41,-2,39,-6,35,,,"8/12/8,4T (VSG 44.1T) Acoustic",,8,8,,12 Ar,12,44.1 A,8,"0,5",-,,-,,,tak,"28,50","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw41-8-12-84T-VSG-44.1T-Acoustic.pdf,
41,-1,40,-4,37,,,"13,5 (VSG 66.4)/16/12T",,66.4,12,"1,52",16 Ar,16,12,12,,-,,-,,,nie,"41,52","60,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw41-135-VSG-66.4-16-12T.pdf,
42,-3,39,-7,35,,,"8,8 (VSG 44.2) Acoustic/16/6T",,44.2 A,8,"0,76",16 Ar,16,6,6,,-,,-,,,tak,"30,76","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-VSG44.2-akustic-16Ar-6-ang.pdf,https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-VSG44.2-akustic-16Ar-6-pol.pdf
42,-3,39,-7,35,,,"6/16/10,8T (VSG 55.2T) Acoustic",,6,6,,16 Ar,16,55.2 A,10,"0,76",-,,-,,,tak,"32,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw42-6-16Ar-VSG-55.2-akustic-swiadectwo-j.-angielski.pdf,
